Event_ID,Release_Timestamp,Indicator_Name,Country,Consensus_Forecast,Actual_Value,Prior_Value,Surprise_Value,Surprise_ZScore
492,2022-11-30T13:30:00Z,US GDP Price Index QoQ 2nd Est,USA,4.2,4.3,4.2,0.1,0.1
493,2023-05-25T12:30:00Z,US Durable Goods Ex Defense MoM Adv,USA,-0.7,1.0,-3.5,1.7,1.2
494,2023-08-10T00:30:00Z,Australia Consumer Inflation Expectation,AUS,5.1,4.9,5.2,-0.2,-0.3
495,2024-01-24T14:45:00Z,US S&P Global Composite PMI Flash,USA,51.0,52.3,50.9,1.3,0.8
496,2018-05-23T18:00:00Z,FOMC Meeting Minutes,USA,,,,,,
497,2019-10-04T12:30:00Z,Canada Ivey PMI NSA,CAN,60.0,48.7,60.6,-11.3,-2.5
498,2020-07-08T14:00:00Z,US JOLTS Job Openings Number,USA,5000,5889,4996,889,1.5
499,2021-02-10T13:30:00Z,US CPI Ex Food and Energy MoM,USA,0.2,0.0,0.1,-0.2,-0.5
500,2022-05-04T18:30:00Z,FOMC Press Conference,USA,,,,,,
501,2023-08-01T13:45:00Z,US S&P Global Manufacturing PMI Final,USA,49.0,49.0,46.3,0.0,0.0
502,2023-11-08T15:30:00Z,US EIA Crude Oil Stocks Change,USA,-1.500,3.596,-1.368,5.096,1.5
503,2024-02-02T13:30:00Z,US Average Hourly Earnings YoY,USA,4.3,4.5,4.3,0.2,0.4
504,2018-04-18T18:00:00Z,Fed Beige Book,USA,,,,,,
505,2019-08-22T13:45:00Z,US Markit Manufacturing PMI Flash,USA,50.5,50.0,50.4,-0.5,-0.3
506,2020-01-15T13:30:00Z,US PPI Final Demand MoM,USA,0.2,0.1,0.0,0.1,0.2
507,2021-07-27T14:00:00Z,US CB Consumer Confidence,USA,123.9,129.1,128.9,5.2,1.0
508,2022-10-13T12:30:00Z,US Continuing Jobless Claims,USA,1370,1385,1368,15,0.1
509,2023-02-01T19:30:00Z,FOMC Press Conference,USA,,,,,,
510,2023-05-01T14:00:00Z,US ISM Manufacturing Prices Paid,USA,49.0,53.2,49.2,4.2,1.0
511,2024-01-10T15:30:00Z,US EIA Natural Gas Stocks Change,USA,-100,-110,-140,-10,-0.2
512,2018-06-14T12:45:00Z,ECB Press Conference,EUR,,,,,,
513,2019-01-08T13:15:00Z,Canada Housing Starts MoM,CAN,200.0,213.1,205.9,13.1,0.8
514,2020-03-04T14:00:00Z,Bank of Canada Rate Decision,CAN,1.75,1.25,1.75,-0.50,-2.0 # Rate Cut
515,2021-09-08T14:00:00Z,Bank of Canada Rate Statement,CAN,,,,,,
516,2022-02-09T12:00:00Z,US MBA 30-Year Mortgage Rate,USA,,4.100,3.829,,
517,2023-04-12T18:00:00Z,FOMC Meeting Minutes,USA,,,,,,
518,2023-07-12T14:00:00Z,Bank of Canada Rate Decision,CAN,4.75,5.00,4.75,0.25,1.0
519,2024-02-13T07:00:00Z,UK Average Earnings Ex Bonus 3Mo YoY,GBR,6.0,6.2,6.7,0.2,0.3
520,2018-08-15T12:30:00Z,US Retail Sales Advance MoM,USA,0.1,0.7,0.2,0.6,1.2
521,2019-03-27T12:30:00Z,US Trade Balance Goods,USA,-74.0,-73.1,-75.9,0.9,0.3
522,2020-05-13T12:30:00Z,US PPI Final Demand Ex Food and Energy MoM,USA,-0.2,-0.3,-0.2,-0.1,-0.2
523,2021-11-24T13:30:00Z,US Durable Goods Orders Ex Transp MoM Adv,USA,0.5,0.3,1.3,-0.2,-0.4
524,2022-04-12T12:30:00Z,US CPI Index NSA,USA,287.7,287.504,287.708,-0.204,-0.2
525,2023-07-28T12:30:00Z,US Employment Cost Index QoQ,USA,1.1,1.0,1.2,-0.1,-0.2
526,2023-10-06T12:30:00Z,Canada Average Hourly Wages YoY,CAN,5.2,5.0,5.2,-0.2,-0.1
527,2024-01-25T13:30:00Z,US GDP Annualized QoQ Adv,USA,2.0,3.3,4.9,1.3,1.5
528,2018-10-10T12:30:00Z,US PPI MoM Final Demand,USA,0.2,0.2,0.0,0.0,0.0
529,2019-04-26T12:30:00Z,US GDP Annualized QoQ Adv,USA,2.3,3.2,2.2,0.9,1.2
530,2020-07-30T12:30:00Z,US GDP Annualized QoQ Adv,USA,-34.7,-32.9,5.0,1.8,0.5 # COVID trough
531,2021-01-07T15:00:00Z,US ISM Services PMI,USA,56.0,57.7,55.9,1.7,0.8
532,2022-07-28T12:30:00Z,US GDP Annualized QoQ Adv,USA,0.4,-0.9,1.6,-1.3,-1.8 # Recession fears
533,2023-01-12T13:30:00Z,US Real Earnings MoM,USA,-0.1,-0.2,0.5,-0.1,-0.2
534,2023-04-28T12:30:00Z,US Employment Cost Index Wages QoQ,USA,1.2,1.2,1.2,0.0,0.0
535,2024-02-15T14:15:00Z,US Industrial Production YoY,USA,-0.2,-0.03,-0.01,0.17,0.3
536,2018-12-03T15:00:00Z,US ISM Manufacturing New Orders Index,USA,57.5,62.1,57.4,4.6,1.2
537,2019-06-20T14:00:00Z,US Philadelphia Fed Manufacturing Index,USA,11.0,0.3,16.6,-10.7,-2.5
538,2020-09-10T11:45:00Z,ECB Asset Purchase Target,EUR,1350,1350,1350,0,0 # PEPP
539,2021-03-05T13:30:00Z,US Nonfarm Payrolls Private,USA,150,595,22,-55,1.5 # Rebound
540,2022-06-16T07:30:00Z,SNB Interest Rate Decision,CHE,-0.75,-0.25,-0.75,0.50,2.0 # Surprise hike
541,2023-08-25T14:00:00Z,Fed Chair Powell Speaks at Jackson Hole,USA,,,,,,
542,2023-11-15T13:30:00Z,US PPI Final Demand YoY,USA,1.2,0.9,2.2,-0.3,-0.8
543,2024-01-17T13:30:00Z,US Retail Sales Control Group,USA,0.2,0.8,0.4,0.6,1.0
544,2018-07-17T13:15:00Z,US Capacity Utilization,USA,78.2,78.0,77.7,-0.2,-0.1
545,2019-02-28T13:30:00Z,US GDP Price Index QoQ 2nd Est,USA,1.7,1.7,1.8,0.0,-0.1
546,2020-04-01T12:15:00Z,US ADP National Employment Report,USA,-150,-27,-149,122,1.5 # First COVID job losses
547,2021-12-16T12:45:00Z,ECB Press Conference,EUR,,,,,, # Hawkish tilt
548,2022-03-17T12:00:00Z,Bank of England Monetary Policy Report,GBR,,,,,,
549,2023-06-29T12:30:00Z,US GDP Annualized QoQ Final,USA,1.4,2.0,1.3,0.6,0.8
550,2023-09-01T12:30:00Z,US Labor Market Conditions Index,USA,,,2.1,,
551,2024-02-29T14:45:00Z,US Chicago PMI,USA,48.1,44.0,46.0,-4.1,-1.0
552,2018-09-13T11:45:00Z,ECB Rate Decision (Minimum Bid Rate),EUR,0.00,0.00,0.00,0.0,0.0
553,2019-03-01T15:00:00Z,US UMich Consumer Sentiment Final,USA,95.7,93.8,95.5,-1.9,-0.7
554,2020-05-01T14:00:00Z,US ISM Manufacturing PMI,USA,36.0,41.5,49.1,5.5,1.0 # COVID low
555,2021-08-27T14:00:00Z,Fed Chair Powell Speaks at Jackson Hole,USA,,,,,, # Transitory inflation speech
556,2022-01-26T19:00:00Z,FOMC Rate Decision,USA,0.25,0.25,0.25,0.0,0.0 # Signals imminent hike
557,2023-03-15T00:30:00Z,RBNZ Official Cash Rate,NZL,4.75,5.25,4.75,0.50,2.0 # Surprise hike
558,2023-06-08T11:45:00Z,ECB Main Refinancing Operations Announcement,EUR,,,,,,
559,2024-01-12T13:30:00Z,US Import Price Index MoM,USA,-0.5,0.0,-0.7,0.5,0.8
560,2018-11-08T19:00:00Z,FOMC Rate Decision,USA,2.25,2.25,2.25,0.0,0.0
561,2019-05-01T18:00:00Z,FOMC Rate Decision,USA,2.50,2.50,2.50,0.0,0.0
562,2020-07-29T18:00:00Z,FOMC Rate Decision,USA,0.25,0.25,0.25,0.0,0.0
563,2021-02-12T15:00:00Z,US UMich Consumer Expectations Prel,USA,73.0,72.5,74.0,-0.5,-0.2
564,2022-06-02T12:15:00Z,US ADP Employment Change,USA,300,128,202,-172,-2.5 # Miss
565,2023-09-07T00:30:00Z,Australia RBA Gov Lowe Speaks,AUS,,,,,,
566,2023-12-08T13:30:00Z,US U6 Unemployment Rate,USA,7.1,7.0,7.2,-0.1,-0.2
567,2024-02-01T13:30:00Z,US Challenger Job Cuts Number,USA,,82307,34817,,
568,2018-01-11T09:00:00Z,Eurozone Industrial Production MoM,EUR,0.8,0.4,1.0,-0.4,-0.5
569,2019-07-18T00:30:00Z,Australia NAB Quarterly Business Confidence,AUS,2,7,0,5,1.2
570,2020-10-06T12:30:00Z,US Trade Balance,USA,-66.5,-67.1,-63.4,-0.6,-0.1
571,2021-04-29T12:30:00Z,US GDP Sales QoQ Adv,USA,8.0,10.7,2.8,2.7,1.0
572,2022-08-02T14:00:00Z,US JOLTS Job Openings Number,USA,10700,11254,11303,554,0.5
573,2023-01-25T15:00:00Z,Bank of Canada Press Conference,CAN,,,,,,
574,2023-04-13T12:30:00Z,US PPI Ex Food, Energy and Trade MoM,USA,0.2,0.0,0.1,-0.2,-0.5
575,2024-02-28T13:30:00Z,US GDP Price Index QoQ 2nd Est,USA,1.5,1.5,3.3,0.0,0.0
576,2018-03-29T12:30:00Z,US Personal Spending MoM,USA,0.3,0.4,0.2,0.1,0.2
577,2019-08-14T12:30:00Z,US Retail Sales Ex Autos and Gas MoM,USA,0.4,0.9,0.7,0.5,0.8
578,2020-01-30T12:30:00Z,US GDP Annualized QoQ Adv,USA,2.1,2.1,2.1,0.0,0.0
579,2021-06-24T12:30:00Z,US Durable Goods Orders Ex Defense MoM Adv,USA,0.8,0.5,0.8,-0.3,-0.4
580,2022-11-09T15:30:00Z,US EIA Natural Gas Storage Change,USA,-20,-15,15,-35,-1.0
581,2023-03-09T12:45:00Z,ECB Marginal Lending Facility,EUR,3.25,3.25,2.75,0.0,0.0
582,2023-06-07T00:30:00Z,Australia GDP QoQ,AUS,0.3,0.2,0.6,-0.1,-0.2
583,2024-01-11T00:00:00Z,China CPI YoY,CHN,-0.4,-0.3,-0.5,0.1,0.2
584,2018-05-16T12:30:00Z,US Housing Starts Number,USA,1310,1287,1336,-23,-0.3
585,2019-11-07T12:00:00Z,Bank of England Inflation Report,GBR,,,,,,
586,2020-07-02T12:30:00Z,US Factory Orders MoM,USA,5.5,8.0,-13.5,2.5,1.2
587,2021-02-01T14:00:00Z,US Construction Spending MoM,USA,0.8,1.7,0.8,0.9,1.1
588,2022-05-24T07:30:00Z,French Manufacturing PMI Flash,FRA,55.0,54.5,55.7,-0.5,-0.3
589,2023-08-31T12:30:00Z,US Personal Spending MoM,USA,0.6,0.8,0.6,0.2,0.3
590,2023-11-07T13:30:00Z,Canada Trade Balance,CAN,-2.0,1.1,-2.2,3.1,1.8
591,2024-02-13T13:30:00Z,US CPI SA Index,USA,309.5,309.685,308.417,0.268,0.4
592,2018-07-26T11:45:00Z,ECB Rate Decision (Deposit Facility Rate),EUR,-0.40,-0.40,-0.40,0.0,0.0
593,2019-01-30T13:15:00Z,US ADP National Employment Report,USA,180,213,263,33,0.8
594,2020-03-11T12:30:00Z,US Core CPI YoY,USA,2.3,2.4,2.3,0.1,0.2
595,2021-09-22T18:00:00Z,FOMC Rate Decision,USA,0.25,0.25,0.25,0.0,0.0
596,2022-02-16T13:30:00Z,US Retail Sales Advance MoM,USA,1.8,3.8,-2.5,2.0,1.5
597,2023-05-17T14:00:00Z,Bank of Canada Financial System Review,CAN,,,,,,
598,2023-08-03T11:00:00Z,Bank of England Monetary Policy Summary,GBR,,,,,,
599,2024-01-08T10:00:00Z,Eurozone Retail Sales MoM,EUR,-0.4,-1.1,0.1,-0.7,-1.0
600,2018-10-31T12:15:00Z,US ADP Employment Change,USA,185,227,218,42,1.0
